proxy,source_ticker,granularity,bar_open_utc,close_ts_utc,close,is_weekend_gap_after
vix,^VIX,1h,2024-08-08T08:00:00+00:00,2024-08-08T09:00:00+00:00,28.260000,false
vix,^VIX,1h,2024-08-08T09:00:00+00:00,2024-08-08T10:00:00+00:00,28.740000,false
vix,^VIX,1h,2024-08-08T10:00:00+00:00,2024-08-08T11:00:00+00:00,28.250000,false
vix,^VIX,1h,2024-08-08T11:00:00+00:00,2024-08-08T12:00:00+00:00,27.440001,false
vix,^VIX,1h,2024-08-08T12:00:00+00:00,2024-08-08T13:00:00+00:00,26.209999,false
vix,^VIX,1h,2024-08-08T13:00:00+00:00,2024-08-08T14:00:00+00:00,25.750000,false
vix,^VIX,1h,2024-08-08T14:00:00+00:00,2024-08-08T15:00:00+00:00,24.690001,false
vix,^VIX,1h,2024-08-08T15:00:00+00:00,2024-08-08T16:00:00+00:00,24.870001,false
vix,^VIX,1h,2024-08-08T16:00:00+00:00,2024-08-08T17:00:00+00:00,25.590000,false
vix,^VIX,1h,2024-08-08T17:00:00+00:00,2024-08-08T18:00:00+00:00,24.870001,false
vix,^VIX,1h,2024-08-08T18:00:00+00:00,2024-08-08T19:00:00+00:00,24.639999,false
vix,^VIX,1h,2024-08-08T19:00:00+00:00,2024-08-08T20:00:00+00:00,23.709999,false
vix,^VIX,1h,2024-08-08T20:00:00+00:00,2024-08-08T21:00:00+00:00,23.820000,false
vix,^VIX,1h,2024-08-09T07:00:00+00:00,2024-08-09T08:00:00+00:00,23.590000,false
vix,^VIX,1h,2024-08-09T08:00:00+00:00,2024-08-09T09:00:00+00:00,23.170000,false
vix,^VIX,1h,2024-08-09T09:00:00+00:00,2024-08-09T10:00:00+00:00,23.270000,false
vix,^VIX,1h,2024-08-09T10:00:00+00:00,2024-08-09T11:00:00+00:00,23.629999,false
vix,^VIX,1h,2024-08-09T11:00:00+00:00,2024-08-09T12:00:00+00:00,23.670000,false
vix,^VIX,1h,2024-08-09T12:00:00+00:00,2024-08-09T13:00:00+00:00,24.219999,false
vix,^VIX,1h,2024-08-09T13:00:00+00:00,2024-08-09T14:00:00+00:00,24.059999,false
vix,^VIX,1h,2024-08-09T14:00:00+00:00,2024-08-09T15:00:00+00:00,22.500000,false
vix,^VIX,1h,2024-08-09T15:00:00+00:00,2024-08-09T16:00:00+00:00,22.180000,false
vix,^VIX,1h,2024-08-09T16:00:00+00:00,2024-08-09T17:00:00+00:00,21.370001,false
vix,^VIX,1h,2024-08-09T17:00:00+00:00,2024-08-09T18:00:00+00:00,21.400000,false
vix,^VIX,1h,2024-08-09T18:00:00+00:00,2024-08-09T19:00:00+00:00,20.969999,false
vix,^VIX,1h,2024-08-09T19:00:00+00:00,2024-08-09T20:00:00+00:00,20.260000,false
vix,^VIX,1h,2024-08-09T20:00:00+00:00,2024-08-09T21:00:00+00:00,20.379999,false
vix,^VIX,1h,2024-08-12T07:00:00+00:00,2024-08-12T08:00:00+00:00,20.570000,false
vix,^VIX,1h,2024-08-12T08:00:00+00:00,2024-08-12T09:00:00+00:00,20.870001,false
vix,^VIX,1h,2024-08-12T09:00:00+00:00,2024-08-12T10:00:00+00:00,20.719999,false
vix,^VIX,1h,2024-08-12T10:00:00+00:00,2024-08-12T11:00:00+00:00,20.549999,false
vix,^VIX,1h,2024-08-12T11:00:00+00:00,2024-08-12T12:00:00+00:00,20.450001,false
vix,^VIX,1h,2024-08-12T12:00:00+00:00,2024-08-12T13:00:00+00:00,20.540001,false
vix,^VIX,1h,2024-08-12T13:00:00+00:00,2024-08-12T14:00:00+00:00,20.990000,false
vix,^VIX,1h,2024-08-12T14:00:00+00:00,2024-08-12T15:00:00+00:00,19.110001,false
vix,^VIX,1h,2024-08-12T15:00:00+00:00,2024-08-12T16:00:00+00:00,19.090000,false
vix,^VIX,1h,2024-08-12T16:00:00+00:00,2024-08-12T17:00:00+00:00,20.370001,false
vix,^VIX,1h,2024-08-12T17:00:00+00:00,2024-08-12T18:00:00+00:00,20.760000,false
vix,^VIX,1h,2024-08-12T18:00:00+00:00,2024-08-12T19:00:00+00:00,20.290001,false
vix,^VIX,1h,2024-08-12T19:00:00+00:00,2024-08-12T20:00:00+00:00,20.660000,false
vix,^VIX,1h,2024-08-12T20:00:00+00:00,2024-08-12T21:00:00+00:00,20.709999,false
vix,^VIX,1h,2024-08-13T07:00:00+00:00,2024-08-13T08:00:00+00:00,20.040001,false
vix,^VIX,1h,2024-08-13T08:00:00+00:00,2024-08-13T09:00:00+00:00,20.090000,false
vix,^VIX,1h,2024-08-13T09:00:00+00:00,2024-08-13T10:00:00+00:00,20.030001,false
vix,^VIX,1h,2024-08-13T10:00:00+00:00,2024-08-13T11:00:00+00:00,20.670000,false
vix,^VIX,1h,2024-08-13T11:00:00+00:00,2024-08-13T12:00:00+00:00,20.410000,false
vix,^VIX,1h,2024-08-13T12:00:00+00:00,2024-08-13T13:00:00+00:00,19.740000,false
vix,^VIX,1h,2024-08-13T13:00:00+00:00,2024-08-13T14:00:00+00:00,19.540001,false
vix,^VIX,1h,2024-08-13T14:00:00+00:00,2024-08-13T15:00:00+00:00,19.450001,false
vix,^VIX,1h,2024-08-13T15:00:00+00:00,2024-08-13T16:00:00+00:00,19.379999,false
vix,^VIX,1h,2024-08-13T16:00:00+00:00,2024-08-13T17:00:00+00:00,19.040001,false
vix,^VIX,1h,2024-08-13T17:00:00+00:00,2024-08-13T18:00:00+00:00,18.840000,false
vix,^VIX,1h,2024-08-13T18:00:00+00:00,2024-08-13T19:00:00+00:00,18.219999,false
vix,^VIX,1h,2024-08-13T19:00:00+00:00,2024-08-13T20:00:00+00:00,18.020000,false
vix,^VIX,1h,2024-08-13T20:00:00+00:00,2024-08-13T21:00:00+00:00,18.120001,false
vix,^VIX,1h,2024-08-14T07:00:00+00:00,2024-08-14T08:00:00+00:00,18.440001,false
vix,^VIX,1h,2024-08-14T08:00:00+00:00,2024-08-14T09:00:00+00:00,18.379999,false
vix,^VIX,1h,2024-08-14T09:00:00+00:00,2024-08-14T10:00:00+00:00,18.410000,false
vix,^VIX,1h,2024-08-14T10:00:00+00:00,2024-08-14T11:00:00+00:00,18.360001,false
vix,^VIX,1h,2024-08-14T11:00:00+00:00,2024-08-14T12:00:00+00:00,18.420000,false
vix,^VIX,1h,2024-08-14T12:00:00+00:00,2024-08-14T13:00:00+00:00,17.540001,false
vix,^VIX,1h,2024-08-14T13:00:00+00:00,2024-08-14T14:00:00+00:00,17.459999,false
vix,^VIX,1h,2024-08-14T14:00:00+00:00,2024-08-14T15:00:00+00:00,16.850000,false
vix,^VIX,1h,2024-08-14T15:00:00+00:00,2024-08-14T16:00:00+00:00,16.459999,false
vix,^VIX,1h,2024-08-14T16:00:00+00:00,2024-08-14T17:00:00+00:00,16.719999,false
vix,^VIX,1h,2024-08-14T17:00:00+00:00,2024-08-14T18:00:00+00:00,16.600000,false
vix,^VIX,1h,2024-08-14T18:00:00+00:00,2024-08-14T19:00:00+00:00,16.309999,false
vix,^VIX,1h,2024-08-14T19:00:00+00:00,2024-08-14T20:00:00+00:00,16.190001,false
vix,^VIX,1h,2024-08-14T20:00:00+00:00,2024-08-14T21:00:00+00:00,16.190001,false
vix,^VIX,1h,2024-08-15T07:00:00+00:00,2024-08-15T08:00:00+00:00,16.200001,false
vix,^VIX,1h,2024-08-15T08:00:00+00:00,2024-08-15T09:00:00+00:00,16.389999,false
vix,^VIX,1h,2024-08-15T09:00:00+00:00,2024-08-15T10:00:00+00:00,16.330000,false
vix,^VIX,1h,2024-08-15T10:00:00+00:00,2024-08-15T11:00:00+00:00,16.590000,false
vix,^VIX,1h,2024-08-15T11:00:00+00:00,2024-08-15T12:00:00+00:00,16.280001,false
vix,^VIX,1h,2024-08-15T12:00:00+00:00,2024-08-15T13:00:00+00:00,15.500000,false
vix,^VIX,1h,2024-08-15T13:00:00+00:00,2024-08-15T14:00:00+00:00,15.280000,false
vix,^VIX,1h,2024-08-15T14:00:00+00:00,2024-08-15T15:00:00+00:00,15.040000,false
vix,^VIX,1h,2024-08-15T15:00:00+00:00,2024-08-15T16:00:00+00:00,15.290000,false
vix,^VIX,1h,2024-08-15T16:00:00+00:00,2024-08-15T17:00:00+00:00,15.570000,false
vix,^VIX,1h,2024-08-15T17:00:00+00:00,2024-08-15T18:00:00+00:00,15.440000,false
vix,^VIX,1h,2024-08-15T18:00:00+00:00,2024-08-15T19:00:00+00:00,15.460000,false
vix,^VIX,1h,2024-08-15T19:00:00+00:00,2024-08-15T20:00:00+00:00,15.190000,false
vix,^VIX,1h,2024-08-15T20:00:00+00:00,2024-08-15T21:00:00+00:00,15.220000,false
vix,^VIX,1h,2024-08-16T07:00:00+00:00,2024-08-16T08:00:00+00:00,15.260000,false
vix,^VIX,1h,2024-08-16T08:00:00+00:00,2024-08-16T09:00:00+00:00,15.310000,false
vix,^VIX,1h,2024-08-16T09:00:00+00:00,2024-08-16T10:00:00+00:00,15.340000,false
vix,^VIX,1h,2024-08-16T10:00:00+00:00,2024-08-16T11:00:00+00:00,15.360000,false
vix,^VIX,1h,2024-08-16T11:00:00+00:00,2024-08-16T12:00:00+00:00,15.450000,false
vix,^VIX,1h,2024-08-16T12:00:00+00:00,2024-08-16T13:00:00+00:00,15.650000,false
vix,^VIX,1h,2024-08-16T13:00:00+00:00,2024-08-16T14:00:00+00:00,15.380000,false
vix,^VIX,1h,2024-08-16T14:00:00+00:00,2024-08-16T15:00:00+00:00,15.070000,false
vix,^VIX,1h,2024-08-16T15:00:00+00:00,2024-08-16T16:00:00+00:00,14.760000,false
vix,^VIX,1h,2024-08-16T16:00:00+00:00,2024-08-16T17:00:00+00:00,14.690000,false
vix,^VIX,1h,2024-08-16T17:00:00+00:00,2024-08-16T18:00:00+00:00,14.870000,false
vix,^VIX,1h,2024-08-16T18:00:00+00:00,2024-08-16T19:00:00+00:00,14.670000,false
vix,^VIX,1h,2024-08-16T19:00:00+00:00,2024-08-16T20:00:00+00:00,14.790000,false
vix,^VIX,1h,2024-08-16T20:00:00+00:00,2024-08-16T21:00:00+00:00,14.800000,false
vix,^VIX,1h,2024-08-19T07:00:00+00:00,2024-08-19T08:00:00+00:00,15.850000,false
vix,^VIX,1h,2024-08-19T08:00:00+00:00,2024-08-19T09:00:00+00:00,15.820000,false
vix,^VIX,1h,2024-08-19T09:00:00+00:00,2024-08-19T10:00:00+00:00,15.790000,false
vix,^VIX,1h,2024-08-19T10:00:00+00:00,2024-08-19T11:00:00+00:00,15.720000,false
vix,^VIX,1h,2024-08-19T11:00:00+00:00,2024-08-19T12:00:00+00:00,15.680000,false
vix,^VIX,1h,2024-08-19T12:00:00+00:00,2024-08-19T13:00:00+00:00,15.520000,false
vix,^VIX,1h,2024-08-19T13:00:00+00:00,2024-08-19T14:00:00+00:00,15.200000,false
vix,^VIX,1h,2024-08-19T14:00:00+00:00,2024-08-19T15:00:00+00:00,14.700000,false
vix,^VIX,1h,2024-08-19T15:00:00+00:00,2024-08-19T16:00:00+00:00,14.690000,false
vix,^VIX,1h,2024-08-19T16:00:00+00:00,2024-08-19T17:00:00+00:00,14.760000,false
vix,^VIX,1h,2024-08-19T17:00:00+00:00,2024-08-19T18:00:00+00:00,14.610000,false
vix,^VIX,1h,2024-08-19T18:00:00+00:00,2024-08-19T19:00:00+00:00,14.720000,false
vix,^VIX,1h,2024-08-19T19:00:00+00:00,2024-08-19T20:00:00+00:00,14.490000,false
vix,^VIX,1h,2024-08-19T20:00:00+00:00,2024-08-19T21:00:00+00:00,14.650000,false
vix,^VIX,1h,2024-08-20T07:00:00+00:00,2024-08-20T08:00:00+00:00,14.820000,false
vix,^VIX,1h,2024-08-20T08:00:00+00:00,2024-08-20T09:00:00+00:00,14.890000,false
vix,^VIX,1h,2024-08-20T09:00:00+00:00,2024-08-20T10:00:00+00:00,14.940000,false
vix,^VIX,1h,2024-08-20T10:00:00+00:00,2024-08-20T11:00:00+00:00,14.880000,false
vix,^VIX,1h,2024-08-20T11:00:00+00:00,2024-08-20T12:00:00+00:00,14.950000,false
vix,^VIX,1h,2024-08-20T12:00:00+00:00,2024-08-20T13:00:00+00:00,15.050000,false
vix,^VIX,1h,2024-08-20T13:00:00+00:00,2024-08-20T14:00:00+00:00,14.880000,false
vix,^VIX,1h,2024-08-20T14:00:00+00:00,2024-08-20T15:00:00+00:00,15.400000,false
vix,^VIX,1h,2024-08-20T15:00:00+00:00,2024-08-20T16:00:00+00:00,15.190000,false
vix,^VIX,1h,2024-08-20T16:00:00+00:00,2024-08-20T17:00:00+00:00,15.730000,false
vix,^VIX,1h,2024-08-20T17:00:00+00:00,2024-08-20T18:00:00+00:00,15.820000,false
vix,^VIX,1h,2024-08-20T18:00:00+00:00,2024-08-20T19:00:00+00:00,15.580000,false
vix,^VIX,1h,2024-08-20T19:00:00+00:00,2024-08-20T20:00:00+00:00,15.850000,false
vix,^VIX,1h,2024-08-20T20:00:00+00:00,2024-08-20T21:00:00+00:00,15.890000,false
vix,^VIX,1h,2024-08-21T07:00:00+00:00,2024-08-21T08:00:00+00:00,16.150000,false
vix,^VIX,1h,2024-08-21T08:00:00+00:00,2024-08-21T09:00:00+00:00,16.059999,false
vix,^VIX,1h,2024-08-21T09:00:00+00:00,2024-08-21T10:00:00+00:00,16.090000,false
vix,^VIX,1h,2024-08-21T10:00:00+00:00,2024-08-21T11:00:00+00:00,16.049999,false
vix,^VIX,1h,2024-08-21T11:00:00+00:00,2024-08-21T12:00:00+00:00,16.010000,false
vix,^VIX,1h,2024-08-21T12:00:00+00:00,2024-08-21T13:00:00+00:00,15.990000,false
vix,^VIX,1h,2024-08-21T13:00:00+00:00,2024-08-21T14:00:00+00:00,16.379999,false
vix,^VIX,1h,2024-08-21T14:00:00+00:00,2024-08-21T15:00:00+00:00,16.629999,false
vix,^VIX,1h,2024-08-21T15:00:00+00:00,2024-08-21T16:00:00+00:00,16.900000,false
vix,^VIX,1h,2024-08-21T16:00:00+00:00,2024-08-21T17:00:00+00:00,16.709999,false
vix,^VIX,1h,2024-08-21T17:00:00+00:00,2024-08-21T18:00:00+00:00,16.600000,false
vix,^VIX,1h,2024-08-21T18:00:00+00:00,2024-08-21T19:00:00+00:00,16.480000,false
vix,^VIX,1h,2024-08-21T19:00:00+00:00,2024-08-21T20:00:00+00:00,16.280001,false
vix,^VIX,1h,2024-08-21T20:00:00+00:00,2024-08-21T21:00:00+00:00,16.280001,false
vix,^VIX,1h,2024-08-22T07:00:00+00:00,2024-08-22T08:00:00+00:00,16.230000,false
vix,^VIX,1h,2024-08-22T08:00:00+00:00,2024-08-22T09:00:00+00:00,16.219999,false
vix,^VIX,1h,2024-08-22T09:00:00+00:00,2024-08-22T10:00:00+00:00,16.230000,false
vix,^VIX,1h,2024-08-22T10:00:00+00:00,2024-08-22T11:00:00+00:00,16.160000,false
vix,^VIX,1h,2024-08-22T11:00:00+00:00,2024-08-22T12:00:00+00:00,16.110001,false
vix,^VIX,1h,2024-08-22T12:00:00+00:00,2024-08-22T13:00:00+00:00,16.120001,false
vix,^VIX,1h,2024-08-22T13:00:00+00:00,2024-08-22T14:00:00+00:00,16.170000,false
vix,^VIX,1h,2024-08-22T14:00:00+00:00,2024-08-22T15:00:00+00:00,16.719999,false
vix,^VIX,1h,2024-08-22T15:00:00+00:00,2024-08-22T16:00:00+00:00,17.370001,false
vix,^VIX,1h,2024-08-22T16:00:00+00:00,2024-08-22T17:00:00+00:00,17.559999,false
vix,^VIX,1h,2024-08-22T17:00:00+00:00,2024-08-22T18:00:00+00:00,17.930000,false
vix,^VIX,1h,2024-08-22T18:00:00+00:00,2024-08-22T19:00:00+00:00,17.660000,false
vix,^VIX,1h,2024-08-22T19:00:00+00:00,2024-08-22T20:00:00+00:00,17.820000,false
vix,^VIX,1h,2024-08-22T20:00:00+00:00,2024-08-22T21:00:00+00:00,17.540001,false
vix,^VIX,1h,2024-08-23T07:00:00+00:00,2024-08-23T08:00:00+00:00,17.170000,false
vix,^VIX,1h,2024-08-23T08:00:00+00:00,2024-08-23T09:00:00+00:00,17.080000,false
vix,^VIX,1h,2024-08-23T09:00:00+00:00,2024-08-23T10:00:00+00:00,17.020000,false
vix,^VIX,1h,2024-08-23T10:00:00+00:00,2024-08-23T11:00:00+00:00,16.920000,false
vix,^VIX,1h,2024-08-23T11:00:00+00:00,2024-08-23T12:00:00+00:00,16.930000,false
vix,^VIX,1h,2024-08-23T12:00:00+00:00,2024-08-23T13:00:00+00:00,16.860001,false
vix,^VIX,1h,2024-08-23T13:00:00+00:00,2024-08-23T14:00:00+00:00,16.860001,false
vix,^VIX,1h,2024-08-23T14:00:00+00:00,2024-08-23T15:00:00+00:00,16.469999,false
vix,^VIX,1h,2024-08-23T15:00:00+00:00,2024-08-23T16:00:00+00:00,16.629999,false
vix,^VIX,1h,2024-08-23T16:00:00+00:00,2024-08-23T17:00:00+00:00,16.700001,false
vix,^VIX,1h,2024-08-23T17:00:00+00:00,2024-08-23T18:00:00+00:00,16.250000,false
vix,^VIX,1h,2024-08-23T18:00:00+00:00,2024-08-23T19:00:00+00:00,16.110001,false
vix,^VIX,1h,2024-08-23T19:00:00+00:00,2024-08-23T20:00:00+00:00,15.620000,false
vix,^VIX,1h,2024-08-23T20:00:00+00:00,2024-08-23T21:00:00+00:00,15.790000,false
vix,^VIX,1h,2024-08-26T07:00:00+00:00,2024-08-26T08:00:00+00:00,16.190001,false
vix,^VIX,1h,2024-08-26T08:00:00+00:00,2024-08-26T09:00:00+00:00,16.000000,false
vix,^VIX,1h,2024-08-26T09:00:00+00:00,2024-08-26T10:00:00+00:00,16.040001,false
vix,^VIX,1h,2024-08-26T10:00:00+00:00,2024-08-26T11:00:00+00:00,16.000000,false
vix,^VIX,1h,2024-08-26T11:00:00+00:00,2024-08-26T12:00:00+00:00,16.090000,false
vix,^VIX,1h,2024-08-26T12:00:00+00:00,2024-08-26T13:00:00+00:00,15.990000,false
vix,^VIX,1h,2024-08-26T13:00:00+00:00,2024-08-26T14:00:00+00:00,16.059999,false
vix,^VIX,1h,2024-08-26T14:00:00+00:00,2024-08-26T15:00:00+00:00,16.370001,false
vix,^VIX,1h,2024-08-26T15:00:00+00:00,2024-08-26T16:00:00+00:00,16.629999,false
vix,^VIX,1h,2024-08-26T16:00:00+00:00,2024-08-26T17:00:00+00:00,16.129999,false
vix,^VIX,1h,2024-08-26T17:00:00+00:00,2024-08-26T18:00:00+00:00,16.590000,false
vix,^VIX,1h,2024-08-26T18:00:00+00:00,2024-08-26T19:00:00+00:00,15.870000,false
vix,^VIX,1h,2024-08-26T19:00:00+00:00,2024-08-26T20:00:00+00:00,16.070000,false
vix,^VIX,1h,2024-08-26T20:00:00+00:00,2024-08-26T21:00:00+00:00,16.100000,false
vix,^VIX,1h,2024-08-27T07:00:00+00:00,2024-08-27T08:00:00+00:00,16.200001,false
vix,^VIX,1h,2024-08-27T08:00:00+00:00,2024-08-27T09:00:00+00:00,16.160000,false
vix,^VIX,1h,2024-08-27T09:00:00+00:00,2024-08-27T10:00:00+00:00,16.170000,false
vix,^VIX,1h,2024-08-27T10:00:00+00:00,2024-08-27T11:00:00+00:00,16.420000,false
vix,^VIX,1h,2024-08-27T11:00:00+00:00,2024-08-27T12:00:00+00:00,16.350000,false
vix,^VIX,1h,2024-08-27T12:00:00+00:00,2024-08-27T13:00:00+00:00,16.559999,false
vix,^VIX,1h,2024-08-27T13:00:00+00:00,2024-08-27T14:00:00+00:00,16.389999,false
vix,^VIX,1h,2024-08-27T14:00:00+00:00,2024-08-27T15:00:00+00:00,15.830000,false
vix,^VIX,1h,2024-08-27T15:00:00+00:00,2024-08-27T16:00:00+00:00,15.950000,false
vix,^VIX,1h,2024-08-27T16:00:00+00:00,2024-08-27T17:00:00+00:00,15.710000,false
vix,^VIX,1h,2024-08-27T17:00:00+00:00,2024-08-27T18:00:00+00:00,15.430000,false
vix,^VIX,1h,2024-08-27T18:00:00+00:00,2024-08-27T19:00:00+00:00,15.480000,false
vix,^VIX,1h,2024-08-27T19:00:00+00:00,2024-08-27T20:00:00+00:00,15.470000,false
