name,strategy_name,symbol,timeframe,start,end,total_trades,win_rate,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,avg_win_loss_ratio,wfo_windows,wfo_total_trades,wfo_mean_sharpe,wfo_total_return_pct,passes_gates,failure_reasons
mtf-0020,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,388,42.01030927835052,-92.90629843550859,93.48261317276031,-4.099128634177604,-5.273021179620067,0.4746987964465422,0.6552590748495215,3,106,-4.91508860795459,-58.30105182735422,False,"drawdown,wfo_sharpe"
mtf-0021,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,13,23.076923076923077,-17.047123439883308,19.145147592381324,-1.7068456308775852,-2.0212470660545234,0.1718922180451031,0.5729740601503438,3,7,-2.196999829843479,-11.428646839818068,False,wfo_sharpe
mtf-0022,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,171,24.561403508771928,-71.75682957406386,77.02255591614991,-2.0479430268009193,-2.802690961988135,0.5506819171813835,1.6913801741999637,3,44,-2.850389471799206,-38.90182103335202,False,"drawdown,wfo_sharpe"
mtf-0023,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,43,48.837209302325576,-31.999046813523,33.38654015382587,-1.6926539014083928,-2.092629232134133,0.28850892389579164,0.3022474440813055,3,18,-2.4098049606060274,-16.257695042940778,False,"drawdown,wfo_sharpe"
mtf-0024,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,201,29.850746268656714,-77.21515531529218,80.73728907553908,-2.316954158385936,-3.1360283831712445,0.535299552481712,1.2579539483320232,3,54,-2.8922093516754663,-40.87198147801867,False,"drawdown,wfo_sharpe"
mtf-0025,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,63,47.61904761904761,-30.170711995493622,35.76731671019141,-1.6805366526276875,-2.140216514002531,0.469036361506446,0.5159399976570906,3,10,-2.1227468393190256,-12.185682659989183,False,"drawdown,wfo_sharpe"
mtf-0026,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,218,32.11009174311927,-74.71429686083128,79.3216562137822,-2.280433877442002,-3.1003414089390597,0.5530346876269522,1.1692733395541273,3,48,-2.802491025620091,-38.333625304552186,False,"drawdown,wfo_sharpe"
mtf-0027,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,227,48.01762114537445,-81.32324196542686,82.5885976573774,-3.9240382995776866,-4.764116176571157,0.37629526341618225,0.40736551452394043,3,62,-3.858984348566582,-38.11781894247981,False,"drawdown,wfo_sharpe"
mtf-0028,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,388,42.01030927835052,-92.90629843550859,93.48261317276031,-4.099128634177604,-5.273021179620067,0.4746987964465422,0.6552590748495215,3,106,-4.91508860795459,-58.30105182735422,False,"drawdown,wfo_sharpe"
mtf-0029,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,13,23.076923076923077,-17.047123439883308,19.145147592381324,-1.7068456308775852,-2.0212470660545234,0.1718922180451031,0.5729740601503438,3,7,-2.196999829843479,-11.428646839818068,False,wfo_sharpe
